APY,APY_BASE,APY_REWARD,TVL,DATE
3.21066,3.21066,,1502131852,2023-09-23T23:02:59.100Z
3.16803,3.16803,,1499964204,2023-09-24T23:02:46.435Z
3.13038,3.13038,,1498923807,2023-09-25T23:02:46.327Z
3.06836,3.06836,,1502866057,2023-09-26T23:02:43.008Z
3.08126,3.08126,,1511061728,2023-09-27T23:02:57.955Z
3.07236,3.07236,,1563417746,2023-09-28T23:02:41.061Z
3.07236,3.07236,,1581076961,2023-09-29T23:02:57.079Z
3.07236,3.07236,,1590456154,2023-09-30T23:02:45.654Z
3.07236,3.07236,,1643808174,2023-10-01T23:02:45.744Z
3.07236,3.07236,,1577861012,2023-10-02T23:02:47.173Z
3.07236,3.07236,,1573985800,2023-10-03T23:02:46.480Z
3.07236,3.07236,,1570164630,2023-10-04T23:02:32.334Z
3.07236,3.07236,,1542458713,2023-10-05T23:02:32.445Z
3.07236,3.07236,,1572877870,2023-10-06T23:02:59.207Z
3.07236,3.07236,,1566186052,2023-10-07T23:02:35.660Z
3.07236,3.07236,,1562791949,2023-10-08T23:02:43.346Z
3.07236,3.07236,,1513154079,2023-10-09T23:02:41.475Z
3.07236,3.07236,,1507627495,2023-10-10T23:02:33.856Z
3.07236,3.07236,,1511207861,2023-10-11T23:02:50.699Z
3.07236,3.07236,,1488393929,2023-10-12T23:02:51.388Z
3.07236,3.07236,,1500575414,2023-10-13T23:02:28.274Z
3.07236,3.07236,,1511023065,2023-10-14T23:02:51.024Z
3.07236,3.07236,,1512183787,2023-10-15T23:02:33.047Z
2.93554,2.93554,,1542852504,2023-10-16T23:02:34.029Z
2.93554,2.93554,,1520070765,2023-10-17T23:02:54.462Z
2.93554,2.93554,,1524790545,2023-10-18T23:02:55.392Z
3.02841,3.02841,,1524554394,2023-10-19T23:02:49.193Z
3.02841,3.02841,,1569933684,2023-10-20T23:03:18.734Z
3.02841,3.02841,,1593671815,2023-10-21T23:02:24.320Z
3.02841,3.02841,,1614952702,2023-10-22T23:02:48.375Z
3.02841,3.02841,,1730040143,2023-10-23T23:02:51.583Z
3.02841,3.02841,,1749964795,2023-10-24T23:02:51.525Z
3.02841,3.02841,,1754811514,2023-10-25T23:02:18.520Z
3.02841,3.02841,,1767719915,2023-10-26T23:02:09.644Z
3.02841,3.02841,,1749878096,2023-10-27T23:02:19.134Z
3.02841,3.02841,,1753236584,2023-10-28T23:02:05.200Z
3.02841,3.02841,,1786233958,2023-10-29T23:03:10.105Z
3.02841,3.02841,,1802260435,2023-10-30T23:02:15.222Z
3.02841,3.02841,,1804208756,2023-10-31T23:02:04.414Z
3.02841,3.02841,,1835108636,2023-11-01T23:12:31.501Z
3.02841,3.02841,,1796794746,2023-11-02T23:02:39.537Z
3.02841,3.02841,,1824680801,2023-11-03T23:03:33.707Z
3.02841,3.02841,,1854402522,2023-11-04T23:02:37.440Z
3.02841,3.02841,,1882787783,2023-11-05T23:02:41.379Z
3.02841,3.02841,,1902072355,2023-11-06T23:02:23.340Z
3.11521,3.11521,,1886702632,2023-11-07T23:02:21.942Z
3.11521,3.11521,,1897184637,2023-11-08T23:02:08.273Z
3.11521,3.11521,,2107004121,2023-11-09T23:02:50.709Z
3.11521,3.11521,,2096845103,2023-11-10T23:02:11.552Z
3.11521,3.11521,,2060701841,2023-11-11T23:02:26.570Z
3.11521,3.11521,,2073697967,2023-11-12T23:02:22.023Z
3.33839,3.33839,,2077483714,2023-11-13T23:02:15.715Z
3.43023,3.43023,,2019380666,2023-11-14T23:02:51.056Z
3.43023,3.43023,,2089454442,2023-11-15T23:02:27.439Z
3.43023,3.43023,,2005478932,2023-11-16T23:02:08.522Z
3.40866,3.40866,,1989261494,2023-11-17T23:02:11.974Z
3.40866,3.40866,,1974584534,2023-11-18T12:02:49.692Z
